,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,,
Rk,Player,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,,
92,Mikkel Damsgaard,MFFW,dk Denmark,20,2000,3.6,123,121,2,1,0,25,3,6,0,0,0,0,93,9,21,11,107,3,0,0,92,0,6,7,3,,
93,Marcus Danielsson,DF,se Sweden,31,1989,4.1,151,145,6,5,0,19,4,1,0,0,0,0,111,14,26,40,94,9,1,1,130,1,2,2,2,,
94,Vladimír Darida,MF,cz Czech Republic,30,1990,2.7,125,117,8,2,0,27,8,7,6,3,2,0,79,16,30,21,98,4,0,1,93,0,0,6,4,,
95,Ben Davies,DF,wls Wales,27,1993,3.1,120,98,22,1,0,22,3,4,0,0,0,0,62,26,32,78,9,9,21,0,86,0,5,4,4,,
96,Paweł Dawidowicz,DF,pl Poland,25,1995,0.1,2,2,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,,
97,Kevin De Bruyne,MF,be Belgium,29,1991,3,182,166,16,1,0,19,12,8,14,3,6,0,128,21,33,18,160,2,1,1,136,3,2,9,4,,
98,Thomas Delaney,MF,dk Denmark,29,1991,5.1,251,249,2,1,0,56,10,8,0,0,0,0,165,38,48,201,23,9,1,5,198,1,10,5,10,,
99,Ousmane Dembélé,FWMF,fr France,23,1997,0.3,11,11,0,0,0,0,0,1,0,0,0,0,9,1,1,4,7,0,0,0,6,0,0,0,1,,
100,Merih Demiral,DF,tr Turkey,22,1998,2.5,138,134,4,4,0,8,3,1,0,0,0,0,118,6,14,14,116,7,0,0,123,0,2,2,1,,
101,Jason Denayer,DF,be Belgium,25,1995,2,158,155,3,1,0,10,1,0,0,0,0,0,144,7,7,7,143,4,2,0,148,0,0,1,2,,
102,Leander Dendoncker,MF,be Belgium,25,1995,1.7,90,86,4,4,0,8,0,1,0,0,0,0,75,4,11,13,68,6,0,0,78,0,1,1,1,,
103,Memphis Depay,FW,nl Netherlands,26,1994,3.6,176,149,27,3,1,31,15,8,17,9,4,1,121,18,37,15,152,4,0,3,123,1,6,6,6,,
104,Halil Dervişoğlu,MF,tr Turkey,21,1999,0.3,7,7,0,0,0,2,0,0,0,0,0,0,5,1,1,0,6,0,0,0,4,0,1,0,1,,
